DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	REGION	COUNTRY_CODE	CURRENT_POSITION
2021-01-07	GHOST TOWN	Pop	Spotify	OTHER	MO	172
2022-02-07	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	SE	27
2022-02-17	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	SE	64
2022-02-21	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	TH	193
2021-12-09	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	SE	40
2022-01-27	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	SE	49
2021-12-26	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	SE	23
2021-12-16	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	SG	153
2021-11-18	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	SK	21
2022-02-24	GHOST TOWN	Pop	Spotify	OTHER	TL	191
2021-04-15	GHOST TOWN	Pop	Spotify	OTHER	TL	98
2021-12-12	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	SG	49
2022-01-13	GHOST TOWN	Pop	Spotify	OTHER	TV	5
2021-10-22	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	SE	154
2021-12-09	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	SG	44
2021-12-09	GHOST TOWN	Pop	Spotify	OTHER	VU	148
2021-11-18	GHOST TOWN	Pop	Spotify	CANADA	CA	17
2021-10-22	GHOST TOWN	Pop	Shazam	CANADA	CA	158
2021-10-29	GHOST TOWN	Pop	Shazam	CANADA	CA	111
2021-11-04	GHOST TOWN	Pop	Shazam	CANADA	CA	191
2022-02-07	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	CH	94
2022-02-24	GHOST TOWN	Pop	Spotify	OTHER	BT	115
2022-02-10	GHOST TOWN	Pop	Spotify	OTHER	BT	121
2022-02-12	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	BE	8
2022-03-05	GHOST TOWN	Pop	Ultratop	CONTINENTAL EUROPE	BE	13
2022-03-03	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	CH	51
2021-11-27	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	BE	39
2021-03-04	GHOST TOWN	Pop	Spotify	OTHER	BN	103
2021-11-28	GHOST TOWN	Pop	Shazam	UNITED KINGDOM	GB	156
2021-12-02	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	IE	92
2021-11-28	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	IE	60
2021-12-03	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	IE	96
2021-03-04	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	FI	114
2022-03-02	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	FR	20
2021-12-18	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	FI	10
2022-01-30	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	FI	6
2021-11-12	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	FR	163
2022-02-15	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	FR	30
2021-12-31	GHOST TOWN	Pop	Shazam	USA	US	151
2021-12-24	GHOST TOWN	Pop	Shazam	USA	US	169
2022-02-05	GHOST TOWN	Pop	Shazam	USA	US	78
2021-12-09	GHOST TOWN	Pop	Spotify	OTHER	CV	187
2022-01-06	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	DK	31
