DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	COUNTRY_KEY	DAYS_ON_CHART	COUNTRY_CODE
2021-12-10	GHOST TOWN	Pop	Apple Music	523		SI
2022-01-30	GHOST TOWN	Pop	Apple Music	745		BS
2022-02-11	GHOST TOWN	Pop	Apple Music	548		FJ
2021-12-11	GHOST TOWN	Pop	Apple Music	573		GH
2021-12-11	GHOST TOWN	Pop	Apple Music	580		RO
2021-12-11	GHOST TOWN	Pop	Apple Music	625		FI
2021-12-11	GHOST TOWN	Pop	Apple Music	711		HR
2021-11-05	GHOST TOWN	Pop	Apple Music	556		OM
2021-11-05	GHOST TOWN	Pop	Apple Music	594		BG
2021-10-23	GHOST TOWN	Pop	Apple Music	571		LU
2021-12-23	GHOST TOWN	Pop	Apple Music	571		LU
2021-12-23	GHOST TOWN	Pop	Apple Music	617		JO
2021-10-28	GHOST TOWN	Pop	Apple Music	583		EE
2021-10-21	GHOST TOWN	Pop	Apple Music	527		UG
2021-10-21	GHOST TOWN	Pop	Apple Music	587		IE
2021-12-03	GHOST TOWN	Pop	Apple Music	528		NO
2022-02-25	GHOST TOWN	Pop	Apple Music	538		ZA
2022-02-21	GHOST TOWN	Pop	Apple Music	699		KW
2022-02-02	GHOST TOWN	Pop	Apple Music	680		MV
2021-11-02	GHOST TOWN	Pop	Apple Music	711		HR
2022-01-06	GHOST TOWN	Pop	Apple Music	523		SI
2021-11-07	GHOST TOWN	Pop	Apple Music	566		LV
2022-02-03	GHOST TOWN	Pop	Apple Music	529		BM
2021-11-17	GHOST TOWN	Pop	Apple Music	677		NA
2022-01-18	GHOST TOWN	Pop	Apple Music	551		LT
2021-12-05	GHOST TOWN	Pop	Apple Music	579		PT
2021-10-25	GHOST TOWN	Pop	Apple Music	578		KH
2021-11-28	GHOST TOWN	Pop	Apple Music	583		EE
2021-11-24	GHOST TOWN	Pop	Apple Music	594		BG
2021-12-10	GHOST TOWN	Pop	Apple Music	711		HR
2022-02-01	GHOST TOWN	Pop	Apple Music	703		JM
2022-02-26	GHOST TOWN	Pop	Apple Music	686		ML
2022-01-05	GHOST TOWN	Pop	Apple Music	736		CM
2022-01-16	GHOST TOWN	Pop	Apple Music	529		BM
2021-12-22	GHOST TOWN	Pop	Apple Music	538		ZA
2022-01-11	GHOST TOWN	Pop	Apple Music	571		LU
2021-12-23	GHOST TOWN	Pop	Apple Music	694		LY
2021-12-05	GHOST TOWN	Pop	Apple Music	571		LU
2021-12-05	GHOST TOWN	Pop	Apple Music	677		NA
2021-12-03	GHOST TOWN	Pop	Apple Music	538		ZA
2021-11-30	GHOST TOWN	Pop	Apple Music	711		HR
2022-01-12	GHOST TOWN	Pop	Apple Music	516		AE
2021-11-20	GHOST TOWN	Pop	Apple Music	516		AE
2022-01-09	GHOST TOWN	Pop	Apple Music	703		JM
2021-12-04	GHOST TOWN	Pop	Apple Music	578		KH
2021-11-12	GHOST TOWN	Pop	Apple Music	570		SK
2021-11-04	GHOST TOWN	Pop	Apple Music	578		KH
2021-12-03	GHOST TOWN	Pop	Apple Music	543		SE
2021-11-02	GHOST TOWN	Pop	Apple Music	559		ES
2021-11-06	GHOST TOWN	Pop	Apple Music	698		LC
2021-11-06	GHOST TOWN	Pop	Apple Music	711		HR
2022-01-03	GHOST TOWN	Pop	Apple Music	522		BE
2022-01-03	GHOST TOWN	Pop	Apple Music	571		LU
2022-01-03	GHOST TOWN	Pop	Apple Music	703		JM
2022-01-09	GHOST TOWN	Pop	Apple Music	528		NO
2021-10-27	GHOST TOWN	Pop	Apple Music	522		BE
2021-10-27	GHOST TOWN	Pop	Apple Music	547		AU
2021-10-27	GHOST TOWN	Pop	Apple Music	571		LU
2021-10-27	GHOST TOWN	Pop	Apple Music	711		HR
2021-11-09	GHOST TOWN	Pop	Apple Music	637		TZ
2021-12-24	GHOST TOWN	Pop	Apple Music	530		DK
2021-12-24	GHOST TOWN	Pop	Apple Music	617		JO
2021-11-22	GHOST TOWN	Pop	Apple Music	579		PT
2021-11-19	GHOST TOWN	Pop	Apple Music	556		OM
2021-11-19	GHOST TOWN	Pop	Apple Music	599		PL
2021-11-19	GHOST TOWN	Pop	Apple Music	617		JO
2022-01-12	GHOST TOWN	Pop	OCC	615	56	GB
2021-11-29	GHOST TOWN	Pop	OCC	615	42	GB
2021-10-28	GHOST TOWN	Pop	OCC	615	7	GB
2021-12-23	GHOST TOWN	Pop	Apple Music	589		IT
2021-12-14	GHOST TOWN	Pop	Apple Music	531		CZ
2021-11-05	GHOST TOWN	Pop	OCC	615	14	GB
2021-11-16	GHOST TOWN	Pop	TDC	530		DK
2021-10-21	GHOST TOWN	Pop	TDC	530		DK
2021-10-15	GHOST TOWN	Pop	TDC	530		DK
2022-01-22	GHOST TOWN	Pop	Spotify	530		DK
2021-12-28	GHOST TOWN	Pop	Spotify	549		NZ
2021-12-29	GHOST TOWN	Pop	Spotify	522		BE
2021-12-28	GHOST TOWN	Pop	Spotify	546		KR
2021-11-21	GHOST TOWN	Pop	Spotify	587		IE
2022-02-08	GHOST TOWN	Pop	Spotify	530		DK
2021-11-17	GHOST TOWN	Pop	Spotify	580		RO
2021-11-28	GHOST TOWN	Pop	Spotify	536		EG
2021-11-17	GHOST TOWN	Pop	Spotify	589		IT
2021-11-09	GHOST TOWN	Pop	Spotify	571		LU
2021-11-14	GHOST TOWN	Pop	Spotify	536		EG
2021-11-13	GHOST TOWN	Pop	Spotify	600		PH
2021-11-08	GHOST TOWN	Pop	Spotify	533		CR
2021-12-11	GHOST TOWN	Pop	Spotify	543		SE
2022-01-13	GHOST TOWN	Pop	Spotify	530		DK
2021-11-05	GHOST TOWN	Pop	Spotify	558		US
2022-01-11	GHOST TOWN	Pop	Spotify	543		SE
2021-11-10	GHOST TOWN	Pop	Spotify	625		FI
2022-01-05	GHOST TOWN	Pop	Spotify	587		IE
2021-12-14	GHOST TOWN	Pop	Spotify	596		NL
2021-10-24	GHOST TOWN	Pop	Spotify	596		NL
2021-12-10	GHOST TOWN	Pop	Spotify	625		FI
2022-03-03	GHOST TOWN	Pop	Spotify	596		NL
2021-11-18	GHOST TOWN	Pop	Spotify	551		LT
2021-11-23	GHOST TOWN	Pop	Spotify	547		AU
2021-10-20	GHOST TOWN	Pop	Spotify	544		AT
2021-11-27	GHOST TOWN	Pop	Spotify	585		FR
2021-11-10	GHOST TOWN	Pop	Spotify	528		NO
2021-11-04	GHOST TOWN	Pop	Spotify	705		IS
